Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
04/02/2020_20:50:17;22.2;46.0;1256;1143.1;1190.00
04/02/2020_20:55:17;22.2;45.7;1273;1105.9;1150.00
04/02/2020_21:00:17;22.1;45.6;1246;1081.9;1140.00
04/02/2020_21:05:17;22.2;45.9;1246;1103.9;1150.00
04/02/2020_21:10:17;22.2;46.0;1286;1192.8;1220.00
04/02/2020_21:15:17;22.3;46.1;1319;1188.4;1250.00
04/02/2020_21:20:17;22.3;46.5;1357;1235.8;1280.00
04/02/2020_21:25:17;22.3;46.4;1378;1258.8;1310.00
04/02/2020_21:30:17;22.3;46.4;1423;1281.2;1340.00
04/02/2020_21:35:17;22.3;46.4;1417;1253.5;1330.00
04/02/2020_21:40:17;22.4;46.6;1438;1290.6;1360.00
04/02/2020_21:45:17;22.3;46.9;1460;1325.2;1380.00
04/02/2020_21:50:17;22.2;46.8;1477;1303.8;1360.00
04/02/2020_21:55:17;22.2;45.2;1449;1162.5;1230.00
04/02/2020_22:00:17;21.7;45.1;1272;1033.5;1090.00
04/02/2020_22:05:17;21.5;43.9;1143;924.9;970.00
04/02/2020_22:10:17;21.3;43.8;1039;885.5;880.00
04/02/2020_22:15:17;21.3;43.0;976;772.8;820.00
04/02/2020_22:20:17;21.2;42.4;896;688.7;740.00
04/02/2020_22:25:17;21.2;42.0;839;623.8;690.00
04/02/2020_22:30:17;21.0;42.0;782;593.9;640.00
04/02/2020_22:35:17;20.9;42.0;739;569.7;590.00
04/02/2020_22:40:17;21.0;41.7;705;525.0;570.00
04/02/2020_22:45:17;20.7;41.9;683;505.4;550.00
04/02/2020_22:50:17;20.7;41.9;656;499.7;530.00
04/02/2020_22:55:17;20.7;41.8;642;478.3;510.00
04/02/2020_23:00:17;20.7;41.6;617;440.4;490.00
04/02/2020_23:05:17;20.6;41.7;614;444.3;480.00
04/02/2020_23:10:17;20.5;41.7;614;454.0;480.00
04/02/2020_23:15:17;20.5;41.6;586;433.9;470.00
04/02/2020_23:20:17;20.4;41.5;583;411.7;460.00
04/02/2020_23:25:17;20.3;41.6;574;415.7;450.00
04/02/2020_23:30:17;20.3;41.5;583;429.2;450.00
04/02/2020_23:35:17;20.3;41.8;569;416.9;440.00
04/02/2020_23:40:17;20.2;41.7;571;402.8;440.00
04/02/2020_23:45:17;20.3;41.3;565;411.4;440.00
04/02/2020_23:50:17;20.2;41.3;566;415.9;430.00
04/02/2020_23:55:17;20.2;41.2;552;423.7;440.00
05/02/2020_00:00:17;20.1;41.4;551;400.5;430.00
05/02/2020_00:05:17;20.1;41.2;549;420.6;430.00
05/02/2020_00:10:17;20.2;41.2;557;417.4;430.00
05/02/2020_00:15:17;20.0;40.9;554;408.4;420.00
05/02/2020_00:20:17;19.9;41.0;557;393.2;430.00
05/02/2020_00:25:17;20.0;40.9;560;397.2;430.00
05/02/2020_00:30:17;19.9;40.9;557;428.8;430.00
05/02/2020_00:35:17;19.9;41.1;568;428.9;440.00
05/02/2020_00:40:17;19.8;41.0;574;410.9;450.00
05/02/2020_00:45:17;19.8;41.0;566;425.1;440.00
05/02/2020_00:50:17;19.7;41.3;565;418.6;450.00
05/02/2020_00:55:17;19.7;41.0;574;420.8;450.00
05/02/2020_01:00:17;19.5;41.2;569;438.0;450.00
05/02/2020_01:05:17;19.4;41.3;583;420.8;470.00
05/02/2020_01:10:17;19.3;41.5;577;450.7;460.00
05/02/2020_01:15:17;19.3;41.5;583;447.2;460.00
05/02/2020_01:20:17;19.3;41.5;583;430.8;460.00
05/02/2020_01:25:17;19.4;41.3;577;452.1;460.00
05/02/2020_01:30:17;19.3;41.6;580;446.9;460.00
05/02/2020_01:35:17;19.1;41.4;592;471.0;460.00
05/02/2020_01:40:17;19.0;41.1;594;459.5;460.00
05/02/2020_01:45:17;18.9;41.5;588;444.4;470.00
05/02/2020_01:50:17;18.8;41.3;588;472.0;470.00
05/02/2020_01:55:17;18.8;41.2;597;521.3;470.00
05/02/2020_02:00:17;18.8;40.9;609;499.4;470.00
05/02/2020_02:05:17;18.9;41.1;594;521.5;480.00
05/02/2020_02:10:17;18.7;40.8;611;532.4;490.00
05/02/2020_02:15:17;18.5;40.9;617;526.1;480.00
05/02/2020_02:20:17;18.6;40.5;617;521.1;480.00
05/02/2020_02:25:17;18.6;40.5;611;523.8;470.00
05/02/2020_02:30:17;18.6;39.9;614;519.8;480.00
05/02/2020_02:35:17;18.5;39.7;609;503.8;460.00
05/02/2020_02:40:17;18.6;39.5;591;500.6;470.00
05/02/2020_02:45:17;18.7;39.2;602;545.4;480.00
05/02/2020_02:50:17;18.6;39.2;606;544.4;470.00
05/02/2020_02:55:17;18.6;38.6;606;506.9;480.00
05/02/2020_03:00:17;18.5;38.6;608;470.3;480.00
05/02/2020_03:05:17;18.4;38.6;608;492.5;480.00
05/02/2020_03:10:17;18.4;38.6;614;530.8;490.00
05/02/2020_03:15:17;18.3;38.2;623;558.6;500.00
05/02/2020_03:20:17;18.3;37.9;611;508.4;490.00
05/02/2020_03:25:17;18.2;38.2;625;524.3;490.00
05/02/2020_03:30:17;18.1;38.4;626;511.8;490.00
05/02/2020_03:35:17;18.1;38.3;623;520.1;490.00
05/02/2020_03:40:17;18.2;38.0;625;591.9;500.00
05/02/2020_03:45:17;18.2;37.8;628;603.9;500.00
05/02/2020_03:50:17;18.3;37.6;634;610.3;500.00
05/02/2020_03:55:17;18.2;37.3;623;595.1;500.00
05/02/2020_04:00:17;18.1;37.3;631;571.1;500.00
05/02/2020_04:05:17;18.2;37.2;628;569.2;490.00
05/02/2020_04:10:17;18.1;37.1;626;570.1;490.00
05/02/2020_04:15:17;18.0;37.1;629;527.8;490.00
05/02/2020_04:20:17;18.0;37.5;631;528.0;490.00
05/02/2020_04:25:17;18.1;37.4;631;546.5;490.00
05/02/2020_04:30:17;17.9;37.6;634;536.2;500.00
05/02/2020_04:35:17;17.8;37.7;631;532.9;500.00
05/02/2020_04:40:17;17.8;37.8;622;527.0;490.00
05/02/2020_04:45:17;17.8;37.8;614;526.3;480.00
05/02/2020_04:50:17;17.8;37.4;617;527.7;470.00
05/02/2020_04:55:17;17.7;37.0;595;520.7;460.00
05/02/2020_05:00:17;17.7;37.2;614;566.9;460.00
05/02/2020_05:05:17;17.6;37.4;605;559.6;470.00
05/02/2020_05:10:17;17.7;37.6;606;576.3;470.00
05/02/2020_05:15:17;17.5;37.7;612;556.6;480.00
05/02/2020_05:20:17;17.4;37.9;611;586.8;470.00
05/02/2020_05:25:17;17.5;37.7;602;674.8;470.00
05/02/2020_05:30:17;17.3;38.0;603;646.8;470.00
05/02/2020_05:35:17;17.5;37.6;600;669.3;470.00
05/02/2020_05:40:17;17.4;37.6;605;600.4;470.00
05/02/2020_05:45:17;17.4;37.7;596;541.6;470.00
05/02/2020_05:50:17;17.5;37.5;608;596.0;460.00
05/02/2020_05:55:17;17.4;37.4;600;579.7;460.00
05/02/2020_06:00:17;17.2;37.9;608;594.3;470.00
05/02/2020_06:05:17;17.4;37.9;608;569.4;470.00
05/02/2020_06:10:17;17.3;38.1;602;537.5;470.00
05/02/2020_06:15:17;17.4;37.3;606;678.1;470.00
05/02/2020_06:20:17;17.5;36.5;597;552.3;460.00
05/02/2020_06:25:17;17.5;36.5;594;496.6;460.00
05/02/2020_06:30:17;17.5;36.6;602;516.0;460.00
05/02/2020_06:35:17;17.4;36.8;603;550.0;460.00
05/02/2020_06:40:17;17.6;36.3;594;486.4;460.00
05/02/2020_06:45:17;17.6;36.1;605;467.9;460.00
05/02/2020_06:50:17;17.4;36.5;605;469.3;460.00
05/02/2020_06:55:17;17.5;35.8;586;486.6;450.00
05/02/2020_07:00:17;17.7;35.4;583;474.6;450.00
05/02/2020_07:05:17;17.8;35.3;588;461.7;450.00
05/02/2020_07:10:17;17.7;35.6;588;453.5;450.00
05/02/2020_07:15:17;17.7;35.2;586;485.4;450.00
05/02/2020_07:20:17;17.8;34.8;583;461.0;450.00
05/02/2020_07:25:17;17.7;35.3;583;468.0;450.00
05/02/2020_07:30:17;17.9;34.7;588;457.1;450.00
05/02/2020_07:35:17;17.8;34.7;574;471.3;450.00
05/02/2020_07:40:17;18.0;34.4;583;470.0;450.00
05/02/2020_07:45:17;17.9;34.3;571;468.2;450.00
05/02/2020_07:50:17;17.9;34.4;585;458.4;450.00
05/02/2020_07:55:17;18.1;34.2;585;442.7;450.00
05/02/2020_08:00:17;18.1;34.2;580;466.1;440.00
05/02/2020_08:05:17;18.1;34.2;577;446.5;440.00
05/02/2020_08:10:17;18.1;34.2;577;449.2;440.00
05/02/2020_08:15:17;18.2;34.6;580;458.7;450.00
05/02/2020_08:20:17;18.4;34.7;580;463.9;450.00
05/02/2020_08:25:17;18.4;34.9;577;450.6;450.00
05/02/2020_08:30:17;18.5;38.2;787;712.5;740.00
05/02/2020_08:35:17;18.6;38.4;819;700.4;720.00
05/02/2020_08:40:17;18.6;37.7;819;641.6;690.00
05/02/2020_08:45:17;18.6;37.3;796;638.2;660.00
05/02/2020_08:50:17;18.7;37.1;767;630.5;630.00
05/02/2020_08:55:17;18.9;36.4;759;601.4;600.00
05/02/2020_09:00:17;19.0;36.0;737;569.8;580.00
05/02/2020_09:05:17;19.2;35.1;699;537.9;560.00
05/02/2020_09:10:17;19.3;34.6;688;517.1;550.00
05/02/2020_09:15:17;19.2;34.0;665;493.4;520.00
05/02/2020_09:20:17;19.3;33.9;652;492.7;500.00
05/02/2020_09:25:17;19.3;33.9;623;460.7;490.00
05/02/2020_09:30:17;19.3;33.5;614;457.9;480.00
05/02/2020_09:35:17;19.3;33.8;611;467.9;470.00
05/02/2020_09:40:17;19.4;33.7;600;457.5;460.00
05/02/2020_09:45:17;19.5;34.0;588;429.3;460.00
05/02/2020_09:50:17;19.5;34.3;582;442.0;450.00
05/02/2020_09:55:17;19.5;34.5;580;446.6;450.00
05/02/2020_10:00:17;19.5;34.5;575;443.7;440.00
05/02/2020_10:05:17;19.6;34.7;568;421.9;430.00
05/02/2020_10:10:17;19.6;35.4;571;464.2;470.00
05/02/2020_10:15:17;19.9;36.9;697;633.6;630.00
05/02/2020_10:20:17;19.9;36.3;694;585.4;570.00
05/02/2020_10:25:17;20.0;36.3;699;554.9;580.00
05/02/2020_10:30:17;20.0;36.5;714;533.0;570.00
05/02/2020_10:35:17;20.0;36.7;703;550.9;570.00
05/02/2020_10:40:17;20.0;36.8;702;546.1;570.00
05/02/2020_10:45:17;20.0;36.9;693;549.2;560.00
05/02/2020_10:50:17;20.1;37.0;705;552.5;570.00
05/02/2020_10:55:17;20.1;37.2;703;550.5;570.00
05/02/2020_11:00:17;20.2;39.3;727;730.0;730.00
05/02/2020_11:05:17;20.4;44.7;1129;1150.5;1170.00
05/02/2020_11:10:17;20.5;44.1;1229;1129.4;1150.00
05/02/2020_11:15:17;20.7;42.9;1223;1075.5;1090.00
05/02/2020_11:20:17;20.6;43.0;1135;945.3;960.00
05/02/2020_11:25:17;20.8;42.5;990;737.3;770.00
05/02/2020_11:30:17;20.8;42.3;908;704.8;750.00
05/02/2020_11:35:17;21.0;42.2;910;720.2;770.00
05/02/2020_11:40:17;21.2;42.2;844;663.5;690.00
05/02/2020_11:45:17;21.1;42.7;879;692.1;730.00
05/02/2020_11:50:17;21.2;42.9;856;707.6;730.00
05/02/2020_11:55:17;21.2;43.1;870;722.5;740.00
05/02/2020_12:00:17;21.3;43.4;865;753.1;730.00
05/02/2020_12:05:17;21.4;43.3;865;710.5;750.00
05/02/2020_12:10:17;21.5;43.7;873;718.6;760.00
05/02/2020_12:15:17;21.6;43.7;890;718.7;760.00
05/02/2020_12:20:17;21.5;43.9;891;729.6;770.00
05/02/2020_12:25:17;21.6;44.0;888;733.4;760.00
05/02/2020_12:30:17;21.7;44.0;884;955.8;770.00
05/02/2020_12:35:17;21.7;43.7;876;735.2;720.00
05/02/2020_12:40:17;21.8;43.8;859;767.9;750.00
05/02/2020_12:45:17;21.8;43.9;870;764.8;760.00
05/02/2020_12:50:17;21.8;44.2;879;716.8;760.00
05/02/2020_12:55:17;21.9;44.2;885;751.7;770.00
05/02/2020_13:00:17;22.0;44.6;907;825.4;790.00
05/02/2020_13:05:17;22.0;45.1;935;949.1;860.00
05/02/2020_13:10:17;22.1;45.0;962;844.7;870.00
05/02/2020_13:15:17;22.2;45.0;996;856.0;880.00
05/02/2020_13:20:17;22.2;45.4;992;844.5;860.00
05/02/2020_13:25:17;22.2;45.8;999;895.1;900.00
05/02/2020_13:30:17;22.2;46.4;1064;970.0;990.00
05/02/2020_13:35:17;22.3;46.6;1081;949.1;940.00
05/02/2020_13:40:17;22.4;47.0;1078;935.5;960.00
05/02/2020_13:45:17;22.5;47.3;1093;945.3;990.00
05/02/2020_13:50:17;22.4;47.8;1098;946.8;1000.00
05/02/2020_13:55:17;22.5;47.5;1064;892.2;940.00
05/02/2020_14:00:17;22.5;47.5;1059;946.2;930.00
05/02/2020_14:05:17;22.6;47.8;1047;892.1;930.00
05/02/2020_14:10:17;22.6;47.9;1083;960.5;1000.00
05/02/2020_14:15:17;22.6;48.2;1132;1130.3;1010.00
05/02/2020_14:20:17;22.6;48.1;1098;1015.8;1000.00
05/02/2020_14:25:17;22.7;47.9;1089;1047.9;1010.00
05/02/2020_14:30:17;22.8;48.5;1124;1075.5;1010.00
05/02/2020_14:35:17;22.9;48.0;1130;1138.5;1030.00
05/02/2020_14:40:17;22.9;47.9;1141;1165.5;1050.00
05/02/2020_14:45:17;23.1;47.5;1147;1066.0;1040.00
05/02/2020_14:50:17;23.2;47.3;1133;1023.3;1010.00
05/02/2020_14:55:17;23.2;47.7;1106;1006.1;1000.00
05/02/2020_15:00:17;23.2;47.1;1109;1011.6;1000.00
05/02/2020_15:05:17;23.2;47.0;1098;988.0;990.00
05/02/2020_15:10:17;23.3;46.5;1089;985.3;980.00
05/02/2020_15:15:17;23.3;46.8;1107;998.3;1000.00
05/02/2020_15:20:17;23.4;46.4;1127;1019.7;1030.00
05/02/2020_15:25:17;23.4;46.5;1112;1015.3;1010.00
05/02/2020_15:30:17;23.5;46.4;1103;985.1;1000.00
05/02/2020_15:35:17;23.4;46.3;1101;1032.9;1000.00
05/02/2020_15:40:17;23.5;46.5;1106;1026.6;1010.00
05/02/2020_15:45:17;23.6;46.2;1123;1039.9;1020.00
05/02/2020_15:50:17;23.6;46.0;1116;998.7;1020.00
05/02/2020_15:55:17;23.5;46.0;1126;1061.0;1040.00
05/02/2020_16:00:17;23.6;45.7;1129;1128.3;1030.00
05/02/2020_16:05:17;23.6;45.9;1150;1070.1;1050.00
05/02/2020_16:10:17;23.6;45.8;1149;1076.1;1050.00
05/02/2020_16:15:17;23.6;45.4;1152;1050.1;1050.00
05/02/2020_16:20:17;23.6;45.4;1147;1048.9;1050.00
05/02/2020_16:25:17;23.6;45.5;1132;1090.3;1020.00
05/02/2020_16:30:17;23.6;45.2;1138;1021.7;1020.00
05/02/2020_16:35:17;23.8;44.5;1116;1042.2;1010.00
05/02/2020_16:40:17;23.9;44.0;1098;1061.0;960.00
05/02/2020_16:45:17;23.8;43.6;1075;1000.0;940.00
05/02/2020_16:50:17;23.8;43.6;1041;972.4;930.00
05/02/2020_16:55:17;24.1;42.5;1035;963.3;880.00
05/02/2020_17:00:17;24.1;40.9;1001;813.5;750.00
05/02/2020_17:05:17;23.8;42.4;965;797.1;840.00
05/02/2020_17:10:17;23.7;43.2;964;809.3;870.00
05/02/2020_17:15:17;23.7;43.4;992;794.4;870.00
05/02/2020_17:20:17;23.7;43.2;973;785.0;820.00
05/02/2020_17:25:17;23.6;43.6;927;761.6;820.00
05/02/2020_17:30:17;23.7;43.4;918;728.3;800.00
05/02/2020_17:35:17;23.6;43.7;913;716.6;790.00
05/02/2020_17:40:17;23.5;43.9;898;729.5;800.00
05/02/2020_17:45:17;23.6;43.8;913;736.6;790.00
05/02/2020_17:50:17;23.4;44.3;905;734.2;800.00
05/02/2020_17:55:17;23.4;44.4;913;745.1;800.00
05/02/2020_18:00:17;23.4;44.6;910;761.0;810.00
05/02/2020_18:05:17;23.5;44.9;939;767.5;830.00
05/02/2020_18:10:17;23.6;44.8;935;759.5;830.00
05/02/2020_18:15:17;23.8;44.5;958;769.0;840.00
05/02/2020_18:20:17;23.7;46.9;953;757.0;830.00
05/02/2020_18:25:17;23.4;43.2;742;536.8;550.00
05/02/2020_18:30:17;23.5;42.3;657;466.7;520.00
05/02/2020_18:35:17;23.4;41.6;637;474.9;510.00
05/02/2020_18:40:17;23.0;42.5;605;454.0;490.00
05/02/2020_18:45:17;23.0;43.2;608;469.0;500.00
05/02/2020_18:50:17;22.7;44.2;632;493.6;570.00
05/02/2020_18:55:17;22.6;43.3;611;447.8;500.00
05/02/2020_19:00:17;22.6;44.1;628;484.3;530.00
05/02/2020_19:05:17;22.5;44.6;643;535.9;530.00
05/02/2020_19:10:17;22.1;44.2;614;473.4;480.00
05/02/2020_19:15:17;22.0;45.3;631;502.9;530.00
05/02/2020_19:20:17;21.9;44.5;620;470.7;510.00
05/02/2020_19:25:17;21.7;44.0;574;422.4;440.00
05/02/2020_19:30:17;21.8;44.3;560;415.9;450.00
05/02/2020_19:35:17;22.2;47.0;697;652.8;660.00
05/02/2020_19:40:17;22.3;47.1;754;669.0;660.00
05/02/2020_19:45:17;22.5;47.4;773;701.8;670.00
05/02/2020_19:50:17;22.5;47.5;797;724.6;700.00
05/02/2020_19:55:17;22.5;47.4;813;742.5;720.00
05/02/2020_20:00:17;22.5;47.4;830;769.0;710.00
05/02/2020_20:05:17;22.5;47.4;839;832.2;720.00
05/02/2020_20:10:17;22.4;47.6;828;773.7;710.00
05/02/2020_20:15:17;22.4;47.3;844;796.3;740.00
05/02/2020_20:20:17;22.4;47.2;842;792.1;730.00
05/02/2020_20:25:17;22.3;47.5;851;718.3;740.00
05/02/2020_20:30:17;22.3;47.5;850;721.3;740.00
05/02/2020_20:35:17;22.4;47.2;876;728.8;760.00
05/02/2020_20:40:17;22.2;47.5;876;736.6;770.00
05/02/2020_20:45:17;22.1;47.8;879;769.2;770.00
05/02/2020_20:50:17;22.0;48.0;896;757.6;780.00
05/02/2020_20:55:17;22.0;48.0;893;767.4;770.00
05/02/2020_21:00:17;21.9;48.1;887;762.6;780.00
05/02/2020_21:05:17;22.0;47.8;896;810.8;780.00
05/02/2020_21:10:17;21.8;48.0;879;802.2;780.00
05/02/2020_21:15:17;21.9;47.8;895;815.0;780.00
05/02/2020_21:20:17;21.9;47.8;898;794.7;780.00
05/02/2020_21:25:17;21.9;47.7;899;784.6;770.00
05/02/2020_21:30:17;21.8;48.0;901;769.6;780.00
05/02/2020_21:35:17;21.6;48.3;898;776.8;780.00
05/02/2020_21:40:17;21.7;48.2;893;812.5;780.00
05/02/2020_21:45:17;21.7;48.1;896;839.0;780.00
05/02/2020_21:50:17;21.6;48.3;890;896.8;780.00
05/02/2020_21:55:17;21.6;48.3;896;875.3;780.00
05/02/2020_22:00:17;21.6;48.2;905;882.3;790.00
05/02/2020_22:05:17;21.6;48.2;904;845.2;780.00
05/02/2020_22:10:17;21.5;48.3;910;852.1;780.00
05/02/2020_22:15:17;21.4;48.6;905;861.3;790.00
05/02/2020_22:20:17;21.5;48.4;901;884.4;790.00
05/02/2020_22:25:17;21.4;48.5;908;1037.6;790.00
05/02/2020_22:30:17;21.5;48.6;919;1046.8;800.00
05/02/2020_22:35:17;21.4;48.6;916;824.5;800.00
05/02/2020_22:40:17;21.3;48.6;921;790.9;810.00
05/02/2020_22:45:17;21.4;48.5;914;823.5;810.00
05/02/2020_22:50:17;21.2;48.5;893;759.8;760.00
05/02/2020_22:55:17;20.9;48.3;840;693.9;700.00
05/02/2020_23:00:17;20.7;48.1;797;621.1;650.00
05/02/2020_23:05:17;20.5;48.2;756;606.7;610.00
05/02/2020_23:10:17;20.4;48.0;730;569.1;590.00
05/02/2020_23:15:17;20.5;47.8;711;555.6;570.00
05/02/2020_23:20:17;20.3;47.8;691;521.1;560.00
05/02/2020_23:25:17;20.3;47.8;659;527.3;530.00
05/02/2020_23:30:17;20.3;48.2;663;511.4;530.00
05/02/2020_23:35:17;20.2;48.3;649;480.5;510.00
05/02/2020_23:40:17;20.2;48.7;628;489.4;500.00
05/02/2020_23:45:17;20.1;49.2;617;482.9;490.00
05/02/2020_23:50:17;20.1;49.0;612;457.8;480.00
05/02/2020_23:55:17;20.1;49.0;600;447.8;480.00
06/02/2020_00:00:17;20.1;48.9;597;436.9;470.00
06/02/2020_00:05:17;20.0;49.0;589;440.5;470.00
06/02/2020_00:10:17;20.0;49.2;592;456.0;460.00
06/02/2020_00:15:17;20.0;48.9;588;425.4;460.00
06/02/2020_00:20:17;19.9;49.2;580;430.7;450.00
06/02/2020_00:25:17;20.0;48.8;586;455.7;450.00
06/02/2020_00:30:17;20.0;48.2;589;454.1;460.00
06/02/2020_00:35:17;19.8;48.2;591;432.4;470.00
06/02/2020_00:40:17;19.7;47.9;591;424.5;460.00
06/02/2020_00:45:17;19.8;47.8;597;454.3;460.00
06/02/2020_00:50:17;19.7;47.2;597;450.4;470.00
06/02/2020_00:55:17;19.7;47.1;591;450.7;460.00
06/02/2020_01:00:17;19.5;47.0;586;459.8;470.00
06/02/2020_01:05:17;19.5;46.5;603;469.2;470.00
06/02/2020_01:10:17;19.5;46.5;599;461.9;470.00
06/02/2020_01:15:17;19.4;46.3;603;460.7;470.00
06/02/2020_01:20:17;19.3;46.4;597;453.2;470.00
06/02/2020_01:25:17;19.4;46.2;597;442.1;470.00
06/02/2020_01:30:17;19.4;46.0;588;481.4;470.00
06/02/2020_01:35:17;19.4;46.5;600;469.4;490.00
06/02/2020_01:40:17;19.3;46.3;609;456.7;480.00
06/02/2020_01:45:17;19.3;46.2;602;455.8;480.00
06/02/2020_01:50:17;19.3;45.9;596;450.1;470.00
06/02/2020_01:55:17;19.3;45.7;597;448.0;470.00
06/02/2020_02:00:17;19.3;46.0;589;446.1;470.00
06/02/2020_02:05:17;19.2;46.0;599;477.4;460.00
06/02/2020_02:10:17;19.2;45.8;597;472.7;470.00
06/02/2020_02:15:17;19.2;45.9;594;464.2;470.00
06/02/2020_02:20:17;19.0;45.8;614;473.2;480.00
06/02/2020_02:25:17;19.1;45.5;605;482.6;480.00
06/02/2020_02:30:17;19.0;45.9;606;470.9;480.00
06/02/2020_02:35:17;19.0;45.5;620;465.6;490.00
06/02/2020_02:40:17;19.1;45.3;619;458.4;480.00
06/02/2020_02:45:17;19.1;45.2;608;448.4;470.00
06/02/2020_02:50:17;19.0;45.0;606;462.9;470.00
06/02/2020_02:55:17;19.0;44.7;603;434.7;470.00
06/02/2020_03:00:17;18.9;44.7;588;455.0;460.00
06/02/2020_03:05:17;19.0;44.3;594;430.5;460.00
06/02/2020_03:10:17;18.9;44.2;589;442.3;450.00
06/02/2020_03:15:17;18.9;43.8;574;458.7;450.00
06/02/2020_03:20:17;18.9;43.9;582;444.1;450.00
06/02/2020_03:25:17;18.8;43.5;583;442.6;450.00
06/02/2020_03:30:17;18.9;43.5;577;443.3;450.00
06/02/2020_03:35:17;18.8;43.4;582;435.5;450.00
06/02/2020_03:40:17;18.8;43.4;588;441.5;450.00
06/02/2020_03:45:17;18.9;43.3;586;448.2;450.00
06/02/2020_03:50:17;18.8;43.1;580;443.9;460.00
06/02/2020_03:55:17;18.8;43.2;594;460.1;460.00
06/02/2020_04:00:17;18.8;43.0;587;445.6;450.00
06/02/2020_04:05:18;18.7;43.1;583;482.5;460.00
06/02/2020_04:10:18;18.6;43.3;597;479.9;470.00
06/02/2020_04:15:18;18.8;43.2;611;476.8;480.00
06/02/2020_04:20:18;18.7;43.1;614;483.0;480.00
06/02/2020_04:25:18;18.6;43.0;611;494.2;480.00
06/02/2020_04:30:18;18.6;42.7;609;505.5;470.00
06/02/2020_04:35:18;18.6;42.7;599;493.1;470.00
06/02/2020_04:40:18;18.5;42.7;597;461.7;470.00
06/02/2020_04:45:18;18.6;42.7;606;478.8;460.00
06/02/2020_04:50:18;18.6;42.2;603;485.5;460.00
06/02/2020_04:55:18;18.6;41.9;596;469.9;460.00
06/02/2020_05:00:18;18.6;41.8;597;489.5;460.00
06/02/2020_05:05:18;18.6;41.5;589;498.3;450.00
06/02/2020_05:10:18;18.6;41.6;571;678.2;450.00
06/02/2020_05:15:18;18.6;41.5;580;538.8;450.00
06/02/2020_05:20:18;18.6;41.4;577;563.9;450.00
06/02/2020_05:25:18;18.6;41.5;572;524.9;450.00
06/02/2020_05:30:18;18.6;41.2;568;501.4;450.00
06/02/2020_05:35:18;18.4;41.3;580;500.0;460.00
06/02/2020_05:40:18;18.4;41.3;591;490.4;450.00
06/02/2020_05:45:18;18.5;41.0;583;493.1;450.00
06/02/2020_05:50:18;18.5;41.3;585;501.4;450.00
06/02/2020_05:55:18;18.4;40.8;591;487.2;450.00
06/02/2020_06:00:18;18.4;40.9;577;469.2;450.00
06/02/2020_06:05:18;18.5;40.7;583;451.9;450.00
06/02/2020_06:10:18;18.4;40.5;571;444.2;450.00
06/02/2020_06:15:18;18.4;40.9;588;449.5;450.00
06/02/2020_06:20:18;18.4;40.9;580;453.0;460.00
06/02/2020_06:25:18;18.3;40.9;586;462.6;460.00
06/02/2020_06:30:18;18.2;40.8;585;452.0;460.00
06/02/2020_06:35:18;18.3;40.9;594;464.1;470.00
06/02/2020_06:40:18;18.3;40.9;592;476.8;460.00
06/02/2020_06:45:18;18.3;40.7;586;458.8;460.00
06/02/2020_06:50:18;18.2;40.5;591;473.3;460.00
06/02/2020_06:55:18;18.3;40.3;582;458.9;460.00
06/02/2020_07:00:18;18.3;40.5;586;452.0;450.00
06/02/2020_07:05:18;18.3;40.1;575;439.2;450.00
06/02/2020_07:10:18;18.4;40.2;588;468.1;450.00
06/02/2020_07:15:18;18.4;39.9;585;462.0;450.00
06/02/2020_07:20:18;18.4;40.1;583;444.2;450.00
06/02/2020_07:25:18;18.5;39.8;586;478.2;450.00
06/02/2020_07:30:18;18.5;39.9;582;513.5;450.00
06/02/2020_07:35:18;18.5;39.9;584;515.6;440.00
06/02/2020_07:40:18;18.6;39.9;580;479.1;440.00
06/02/2020_07:45:18;18.7;40.2;583;477.9;450.00
06/02/2020_07:50:18;18.6;40.1;585;479.5;460.00
06/02/2020_07:55:18;18.7;40.3;585;519.7;460.00
06/02/2020_08:00:18;18.7;40.3;577;509.7;450.00
06/02/2020_08:05:18;18.8;40.2;580;510.2;450.00
06/02/2020_08:10:18;18.8;40.4;579;484.4;440.00
06/02/2020_08:15:18;18.8;40.5;571;500.5;440.00
06/02/2020_08:20:18;18.8;40.9;580;487.7;440.00
06/02/2020_08:25:18;18.9;41.0;574;492.8;440.00
06/02/2020_08:30:18;18.8;41.3;568;520.9;430.00
06/02/2020_08:35:18;18.8;41.5;577;512.7;440.00
06/02/2020_08:40:18;18.9;41.5;578;464.5;440.00
06/02/2020_08:45:18;19.0;41.5;571;444.6;440.00
06/02/2020_08:50:18;19.2;41.6;576;462.5;440.00
06/02/2020_08:55:18;19.3;41.6;577;426.3;440.00
06/02/2020_09:00:18;19.5;41.2;583;421.9;450.00
06/02/2020_09:05:18;19.5;41.2;571;421.5;440.00
06/02/2020_09:10:18;19.7;41.1;574;431.4;440.00
06/02/2020_09:15:18;19.9;40.7;569;450.6;430.00
06/02/2020_09:20:18;19.9;40.7;578;420.4;440.00
06/02/2020_09:25:18;19.9;40.5;568;415.0;440.00
06/02/2020_09:30:18;20.0;40.4;563;413.6;440.00
06/02/2020_09:35:18;20.1;40.6;563;416.4;440.00
06/02/2020_09:40:18;20.1;40.8;577;423.0;460.00
06/02/2020_09:45:18;20.0;41.0;582;430.7;450.00
