Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
07/02/2020_19;25.8;45.0;917.1;760.3;797.3
07/02/2020_20;25.1;47.7;970.5;820.5;861.8
07/02/2020_21;24.4;50.9;1248.4;1094.2;1129.1
07/02/2020_22;24.5;51.2;1292.2;1138.5;1185.5
07/02/2020_23;24.1;52.5;1375.9;1203.4;1253.6
08/02/2020_00;23.8;53.2;1322.0;1152.5;1205.5
08/02/2020_01;23.8;53.7;1345.5;1170.8;1229.1
08/02/2020_02;23.6;54.2;1333.0;1159.1;1213.6
08/02/2020_03;23.5;54.5;1285.2;1108.6;1154.5
08/02/2020_04;23.4;54.6;1225.1;1047.7;1089.1
08/02/2020_05;23.4;55.1;1151.8;981.4;1016.4
08/02/2020_06;23.3;55.4;1104.1;923.7;970.9
08/02/2020_07;23.3;55.4;1076.9;906.6;944.5
08/02/2020_08;23.4;55.6;1065.3;896.8;932.7
08/02/2020_09;23.6;55.5;1052.5;880.6;919.1
08/02/2020_10;23.6;56.7;1101.7;941.7;982.7
08/02/2020_11;24.4;58.2;1230.8;1040.1;1094.5
08/02/2020_12;24.9;56.5;1120.8;905.1;953.6
08/02/2020_13;24.8;56.6;927.4;789.4;812.7
08/02/2020_14;25.1;53.7;912.9;772.7;799.1
08/02/2020_15;25.3;52.6;943.8;763.3;794.5
08/02/2020_16;25.4;51.1;819.5;681.1;707.3
08/02/2020_17;25.2;50.0;843.2;686.0;696.4
08/02/2020_18;24.3;48.7;585.7;471.4;463.6
08/02/2020_19;24.3;51.7;797.9;696.0;681.8
08/02/2020_20;23.8;51.6;716.8;603.4;585.5
08/02/2020_21;23.3;54.4;611.1;511.8;476.4
08/02/2020_22;22.9;58.3;616.4;534.8;486.4
08/02/2020_23;21.6;59.6;611.7;591.3;470.0
09/02/2020_00;21.0;62.0;607.4;530.6;470.9
09/02/2020_01;21.2;59.9;583.0;514.7;441.8
09/02/2020_02;21.1;62.1;578.5;568.6;436.4
09/02/2020_03;21.1;64.3;591.7;591.5;451.8
09/02/2020_04;20.9;63.6;603.3;542.1;464.5
09/02/2020_05;21.9;60.1;695.1;584.7;559.1
09/02/2020_06;22.2;59.2;802.6;673.3;663.6
09/02/2020_07;22.2;59.1;861.7;725.5;720.9
09/02/2020_08;22.4;58.3;865.9;720.7;722.7
09/02/2020_09;22.5;57.5;856.5;711.7;710.9
